+----------------------------+---------------------------+-----------+
| TABLE_NAME                 | COLUMN_NAME               | DATA_TYPE |
+----------------------------+---------------------------+-----------+
| area                       | id                        | bigint    |
| area                       | company_id                | bigint    |
| area                       | code                      | varchar   |
| area                       | name                      | varchar   |
| area                       | description               | varchar   |
| area                       | is_active                 | tinyint   |
| area                       | is_system                 | tinyint   |
| area                       | created_by                | varchar   |
| area                       | created_date              | timestamp |
| area                       | modified_by               | varchar   |
| area                       | modified_date             | timestamp |
| category                   | id                        | bigint    |
| category                   | merchant_id               | bigint    |
| category                   | name                      | varchar   |
| category                   | image                     | longtext  |
| category                   | description               | varchar   |
| category                   | created_by                | varchar   |
| category                   | created_date              | timestamp |
| category                   | modified_by               | varchar   |
| category                   | modified_date             | timestamp |
| company                    | id                        | bigint    |
| company                    | group_id                  | bigint    |
| company                    | code                      | varchar   |
| company                    | name                      | varchar   |
| company                    | is_active                 | tinyint   |
| company                    | is_system                 | tinyint   |
| company                    | created_by                | varchar   |
| company                    | created_date              | timestamp |
| company                    | modified_by               | varchar   |
| company                    | modified_date             | timestamp |
| company_group              | id                        | bigint    |
| company_group              | code                      | varchar   |
| company_group              | name                      | varchar   |
| company_group              | description               | varchar   |
| company_group              | is_active                 | tinyint   |
| company_group              | is_system                 | tinyint   |
| company_group              | created_by                | varchar   |
| company_group              | created_date              | timestamp |
| company_group              | modified_by               | varchar   |
| company_group              | modified_date             | timestamp |
| external_payment           | id                        | bigint    |
| external_payment           | external_transaction_id   | bigint    |
| external_payment           | payment_method            | varchar   |
| external_payment           | amount_paid               | decimal   |
| external_payment           | status                    | varchar   |
| external_payment           | is_effective              | tinyint   |
| external_payment           | payment_reference         | varchar   |
| external_payment           | payment_date              | timestamp |
| external_payment           | payment_snapshot          | longtext  |
| external_payment           | created_by                | varchar   |
| external_payment           | created_date              | timestamp |
| external_transaction       | id                        | bigint    |
| external_transaction       | merchant_id               | bigint    |
| external_transaction       | merchant_unique_code      | varchar   |
| external_transaction       | outlet_id                 | bigint    |
| external_transaction       | username                  | varchar   |
| external_transaction       | trx_id                    | varchar   |
| external_transaction       | status                    | varchar   |
| external_transaction       | payment_method            | varchar   |
| external_transaction       | sub_total                 | decimal   |
| external_transaction       | total_amount              | decimal   |
| external_transaction       | created_by                | varchar   |
| external_transaction       | created_date              | timestamp |
| external_transaction       | price_include_tax         | tinyint   |
| external_transaction       | service_charge_percentage | decimal   |
| external_transaction       | service_charge_amount     | decimal   |
| external_transaction       | total_service_charge      | decimal   |
| external_transaction       | tax_percentage            | decimal   |
| external_transaction       | total_tax                 | decimal   |
| external_transaction       | tax_name                  | varchar   |
| external_transaction       | total_rounding            | decimal   |
| external_transaction       | rounding_type             | varchar   |
| external_transaction       | rounding_target           | varchar   |
| external_transaction       | cash_tendered             | decimal   |
| external_transaction       | cash_change               | decimal   |
| external_transaction       | modified_by               | varchar   |
| external_transaction       | modified_date             | timestamp |
| external_transaction       | queue_id                  | bigint    |
| external_transaction_items | id                        | bigint    |
| external_transaction_items | external_transaction_id   | bigint    |
| external_transaction_items | product_id                | bigint    |
| external_transaction_items | product_name              | varchar   |
| external_transaction_items | price                     | decimal   |
| external_transaction_items | qty                       | int       |
| external_transaction_items | total_price               | decimal   |
| external_transaction_items | product_snapshot          | longtext  |
| external_transaction_items | created_by                | varchar   |
| external_transaction_items | created_date              | timestamp |
| global_parameter           | id                        | bigint    |
| global_parameter           | param_group               | varchar   |
| global_parameter           | param_name                | varchar   |
| global_parameter           | param_value               | text      |
| global_parameter           | description               | varchar   |
| global_parameter           | created_date              | timestamp |
| global_parameter           | modified_date             | timestamp |
| images                     | id                        | bigint    |
| images                     | merchant_id               | bigint    |
| images                     | source_type               | enum      |
| images                     | source_id                 | bigint    |
| images                     | filename                  | varchar   |
| images                     | ext                       | varchar   |
| images                     | is_main                   | tinyint   |
| images                     | status                    | enum      |
| images                     | created_at                | datetime  |
| images                     | updated_at                | datetime  |
| images                     | uploaded_by               | varchar   |
| merchant                   | id                        | bigint    |
| merchant                   | area_id                   | bigint    |
| merchant                   | merchant_name             | varchar   |
| merchant                   | name                      | varchar   |
| merchant                   | code                      | varchar   |
| merchant                   | merchant_unique_code      | varchar   |
| merchant                   | created_by                | varchar   |
| merchant                   | created_date              | timestamp |
| merchant                   | modified_by               | varchar   |
| merchant                   | modified_date             | timestamp |
| merchant                   | source_directory          | varchar   |
| merchant                   | is_active                 | tinyint   |
| merchant                   | description               | varchar   |
| merchant                   | address                   | varchar   |
| merchant                   | phone                     | varchar   |
| merchant                   | email                     | varchar   |
| merchant                   | merchant_ng_id            | bigint    |
| merchant                   | merchant_vapn_id          | bigint    |
| merchant                   | merchant_pos_id           | bigint    |
| merchant_payment_method    | id                        | bigint    |
| merchant_payment_method    | merchant_id               | bigint    |
| merchant_payment_method    | payment_method_id         | bigint    |
| merchant_payment_method    | is_enabled                | tinyint   |
| merchant_payment_method    | display_order             | int       |
| merchant_payment_method    | config_json               | json      |
| merchant_payment_method    | created_at                | datetime  |
| merchant_payment_method    | updated_at                | datetime  |
| outlet                     | id                        | bigint    |
